source.file,sample.id,sample.weight,n.prop,n15,c.prop,c13,indiv.id,pack,sex,sample.date,sample.dateN,birth.date,indiv.age,age.accurate,
HM031015qc,WSK028/SF045,0.283,16.50188655,12.49154233,45.20779463,-19.31505898,SF045,17,F,22/10/2013,41569,41390,179,1,
HM031015qc,WSK035/SM009,0.505,14.25493153,12.53548672,40.599203,-18.21774954,SM009,17,M,22/10/2013,41569,39706,1863,1,
hm031115qcr,WSK254/SM009,0.881,15.68975254,11.6483354,43.36409848,-18.36252,SM009,17,M,25/04/2014,41754,39706,2048,1,
hm022615qc,WSK014/SM013,0.62,17.04037002,11.96659605,46.45505663,-19.00858913,SM013,17,M,11/09/2013,41528,39706,1822,1,
HM031015qc,WSK033/SM013,0.751,14.30679675,12.33007211,40.71576666,-18.5149962,SM013,17,M,22/10/2013,41569,39706,1863,1,
hm031115qcr,WSK247/SM013,0.912,16.50434554,11.3011503,45.08132226,-18.41942126,SM013,17,M,25/04/2014,41754,39706,2048,1,
CS031716_rlc.xlsx,WSK329_SM013,0.9956,15.72779856,11.36765516,42.50314396,-19.32474878,SM013,17,M,27/06/2014,41817,39706,2111,1,
cs021616rlc.xlsx,WSK495_SM013,1.1257,15.82804566,12.48350302,42.23685491,-19.38662505,SM013,17,M,22/11/2014,41965,39706,2259,1,
CS031716_rlc.xlsx,WSK830_SM013,1.7656,16.53783591,12.9493276,43.18322164,-19.09402838,SM013,17,M,14/01/2015,42018,39706,2312,1,
hm022615qc,WSK106/SM018,0.752,16.9456231,11.88808519,46.29566764,-18.56719904,SM018,17,M,08/11/2013,41586,40413,1173,0,
HM031015qc,WSK037/SM021,0.568,16.59849175,12.93191818,45.33189086,-18.17640812,SM021,17,M,22/10/2013,41569,40674,895,1,
hm031115qcr,WSK252/SM021,0.809,15.65142965,11.28013538,43.20428299,-18.57408234,SM021,17,M,25/04/2014,41754,40674,1080,1,
cs021616rlc.xlsx,WSK496_SM021,0.6401,17.40763718,12.28799693,47.27961814,-19.26142486,SM021,17,M,22/11/2014,41965,40674,1291,1,
HM031015qc,WSK036/SM028,0.282,16.82009925,12.37219779,46.61715885,-18.53812019,SM028,17,M,22/10/2013,41569,40795,774,1,
HM031015qc,WSK029/SM037,0.618,16.07703653,12.64939644,44.41060776,-18.90533787,SM037,17,M,22/10/2013,41569,41218,351,1,
hm031115qcr,WSK249/SM037,0.785,16.63122822,11.63623127,45.82706803,-18.84049236,SM037,17,M,25/04/2014,41754,41218,536,1,
hm022615qc,WSK107/SM039,0.671,17.05875187,12.62272317,46.35858494,-18.69357521,SM039,17,M,08/11/2013,41586,41218,368,1,
hm031115qcr,WSK251/SM039,0.663,15.75042148,11.75059421,43.694448,-18.88852187,SM039,17,M,25/04/2014,41754,41218,536,1,
cs021616rlc.xlsx,WSK497_SM039,0.7215,26.21307756,12.8102207,71.18466095,-19.60551597,SM039,17,M,22/11/2014,41965,41218,747,1,
CS031716_rlc.xlsx,WSK529_SM039,1.4734,16.3465293,13.14255989,43.38124067,-19.5407477,SM039,17,M,14/01/2015,42018,41218,800,1,
cs031816_rlc.xlsx,WSK330_SM050,0.7356,16.32771579,11.82221349,44.71826297,-19.7644574,SM050,17,M,27/06/2014,41817,41782,35,1,
hm031115qcr,WSK232/TF249,0.608,16.472524,10.34953416,45.0910539,-17.39353109,TF249,2,F,14/03/2014,41712,39723,1989,1,
hm022415qc,WSK089/TF284,0.262,17.073407,10.61816404,45.11823337,-18.30963641,TF284,2,F,07/11/2013,41585,40353,1232,1,
hm031115qcr,WSK233/TF284,0.612,15.57677573,9.671751546,44.06463369,-17.34900405,TF284,2,F,14/03/2014,41712,40353,1359,1,
CS030416_rlc.xlsx,WSK350_TF284,1.0169,16.27880987,10.55765701,43.65244222,-17.49947088,TF284,2,F,08/07/2014,41828,40353,1475,1,
hm022415qc,WSK086/TF285,0.919,10.0273872,10.57477695,27.46241732,-17.99948889,TF285,2,F,07/11/2013,41585,40353,1232,1,
cs021616rlc.xlsx,WSK421_TF285,0.4301,16.36215867,9.902750851,44.98869287,-16.97709229,TF285,2,F,05/09/2014,41887,40353,1534,1,
hm022415qc,WSK092/TF297,0.379,17.46787522,10.67970349,47.58284459,-18.12399944,TF297,2,F,07/11/2013,41585,41020,565,1,
hm031115qcr,WSK240/TF297,0.398,16.34173595,10.35016762,45.11563786,-17.40223706,TF297,2,F,14/03/2014,41712,41020,692,1,
cs021616rlc.xlsx,WSK347_TF297,0.777,16.30072731,10.42371504,44.33579919,-17.56614844,TF297,2,F,08/07/2014,41828,41020,808,1,
CS030416_rlc.xlsx,WSK418_TF297,0.5197,16.6636464,10.32157625,46.46648151,-17.55312454,TF297,2,F,05/09/2014,41887,41020,867,1,
cs021616rlc.xlsx,WSK991_TF297,0.623,16.35049458,9.828697835,43.79673351,-17.15097545,TF297,2,F,22/06/2015,42177,41020,1157,1,
hm022415qc,WSK088/TF298,0.735,16.87405951,10.68098856,46.13882965,-17.88670213,TF298,2,F,07/11/2013,41585,41020,565,1,
hm031115qcr,WSK230/TF298,0.514,15.63181001,10.18612823,43.94022179,-17.24416751,TF298,2,F,14/03/2014,41712,41020,692,1,
CS030416_rlc.xlsx,WSK348_TF298,0.9447,16.1031696,10.80678584,43.79170398,-16.85275688,TF298,2,F,08/07/2014,41828,41020,808,1,
cs021616rlc.xlsx,WSK492_TF298,0.86,16.40684804,9.393595166,44.62647118,-16.16568741,TF298,2,F,19/11/2014,41962,41020,942,1,
CS030416_rlc.xlsx,WSK857_TF298,1.7299,16.22155036,10.35281895,42.24290227,-16.86069786,TF298,2,F,23/01/2015,42027,41020,1007,1,
hm022415qc,WSK090/TF299,0.637,17.2764704,10.62173517,46.5048359,-17.469248,TF299,2,F,07/11/2013,41585,41020,565,1,
hm031115qcr,WSK299/TF299,1.045,16.20238484,10.06371569,44.68261298,-16.97216072,TF299,2,F,14/03/2014,41712,41020,692,1,
cs021616rlc.xlsx,WSK343_TF299,0.7826,16.42561855,10.05128877,44.62507245,-16.96185659,TF299,2,F,08/07/2014,41828,41020,808,1,
CS030416_rlc.xlsx,WSK416_TF299,1.6445,16.10074689,9.970951713,41.81650526,-16.81541363,TF299,2,F,04/09/2014,41886,41020,866,1,
hm022415qc,WSK087/TF319,0.438,16.96298069,11.3732184,45.85170573,-18.29061615,TF319,2,F,07/11/2013,41585,41096,489,1,
hm031115qcr,WSK239/TF319,0.914,15.59265309,10.77038372,41.76766874,-17.58650086,TF319,2,F,14/03/2014,41712,41096,616,1,
CS030416_rlc.xlsx,WSK351_TF319,0.6881,16.36606045,10.55130699,44.79517551,-17.72751144,TF319,2,F,08/07/2014,41828,41096,732,1,
cs021616rlc.xlsx,WSK491_TF319,0.685,16.62645738,9.942836417,45.441425,-17.01639406,TF319,2,F,19/11/2014,41962,41096,866,1,
CS030416_rlc.xlsx,WSK986_TF319,1.7265,16.05881251,10.77445604,41.89486118,-17.26340605,TF319,2,F,22/06/2015,42177,41096,1081,1,
CS030416_rlc.xlsx,WSK1058_TF319,1.9342,15.9858772,10.70561912,41.51642861,-17.03640664,TF319,2,F,03/09/2015,42250,41096,1154,1,
hm022415qc,WSK093/TF321,0.342,16.7877913,10.21591619,46.81507889,-19.16193708,TF321,2,F,07/11/2013,41585,41096,489,1,
hm031115qcr,WSK226/TF321,0.775,16.05537809,10.21318889,44.41047284,-17.46271784,TF321,2,F,14/03/2014,41712,41096,616,1,
CS030416_rlc.xlsx,WSK856_TF321,1.4379,16.31538772,10.3385819,42.65161563,-17.09670639,TF321,2,F,23/01/2015,42027,41096,931,1,
hm022415qc,WSK091/TF322,0.583,16.55204406,10.73482785,45.85236624,-18.19453556,TF322,2,F,07/11/2013,41585,41096,489,1,
hm031115qcr,WSK241/TF322,0.844,15.78043643,10.53772849,43.43413304,-17.0085441,TF322,2,F,14/03/2014,41712,41096,616,1,
CS030416_rlc.xlsx,WSK353_TF322,1.0779,16.32287257,10.9066916,44.09762239,-16.98241872,TF322,2,F,08/07/2014,41828,41096,732,1,
CS030416_rlc.xlsx,WSK417_TF322,0.8611,15.99227937,9.963107181,43.42378715,-17.09454491,TF322,2,F,04/09/2014,41886,41096,790,1,
CS030416_rlc.xlsx,WSK990_TF322,0.884,15.93478822,10.4340247,43.29625683,-17.77265073,TF322,2,F,22/06/2015,42177,41096,1081,1,
CS030416_rlc.xlsx,WSK1060_TF322,0.8909,16.2652391,10.30703434,43.74912617,-17.36791852,TF322,2,F,03/09/2015,42250,41096,1154,1,
hm022615qc,WSK096/TF1334,0.573,15.77376374,11.15854855,41.03040192,-17.52958998,TF334,2,F,07/11/2013,41585,41300,285,1,
hm031115qcr,WSK243/TF334,0.64,16.56570957,10.32559545,44.91177497,-16.81750758,TF334,2,F,14/03/2014,41712,41300,412,1,
cs021616rlc.xlsx,WSK349_TF334,1.1358,15.9634776,11.01992731,42.29625832,-17.1117257,TF334,2,F,08/07/2014,41828,41300,528,1,
CS021116rlc.xlsx,WSK852_TF334,0.6989,15.55213685,9.434110605,40.85796654,-16.39531706,TF334,2,F,21/01/2015,42025,41300,725,1,
hm022615qc,WSK168/TF368,0.433,17.5978835,11.57192763,48.56169794,-17.8597172,TF368,2,F,10/01/2014,41649,41612,37,1,
CS030416_rlc.xlsx,WSK869_TF372,0.9936,15.68703223,10.54688037,42.56512905,-18.05124422,TF372,2,F,21/01/2015,42025,41845,180,1,
CS021116rlc.xlsx,WSK420_TF374,0.6721,16.54956638,10.81689264,44.82448101,-17.44260143,TF374,2,F,05/09/2014,41887,41845,42,1,
cs021216rlc.xlsx,WSK848_TF374,1.1774,16.9614921,10.26798551,45.09259571,-17.66435092,TF374,2,F,21/01/2015,42025,41845,180,1,
cs021616rlc.xlsx,WSK992_TF374,0.6821,16.21632126,10.71935517,43.90729536,-16.9304894,TF374,2,F,22/06/2015,42177,41845,332,1,
cs021216rlc.xlsx,WSK1056_TF374,1.3432,16.35349796,10.51048468,43.25545927,-16.87688684,TF374,2,F,03/09/2015,42250,41845,405,1,
CS030416_rlc.xlsx,WSK425_TF376,0.1859,16.61407801,11.01570821,47.26103103,-18.2329725,TF376,2,F,05/09/2014,41887,41845,42,1,
CS030416_rlc.xlsx,WSK426_TF377,0.6356,15.69118309,10.86134327,43.89616321,-17.58410101,TF377,2,F,05/09/2014,41887,41845,42,1,
cs021216rlc.xlsx,WSK853_TF381,1.1326,17.1982481,10.58878494,45.02729396,-17.98620454,TF381,2,F,21/01/2015,42025,41845,180,1,
